Country,Year,Report Length (Pages)
Latvia,1998,60
Latvia,1999,96
Latvia,2000,114
Latvia,2001,132
Latvia,2002,159
Lithuania,1998,54
Lithuania,1999,87
Lithuania,2000,113
Lithuania,2001,129
Lithuania,2002,159
Estonia,1998,55
Estonia,1999,86
Estonia,2000,101
Estonia,2001,108
Estonia,2002,144
Bulgaria,1998,56
Bulgaria,1999,88
Bulgaria,2000,104
Bulgaria,2001,117
Bulgaria,2002,149
Bulgaria,2003,133
Bulgaria,2004,168
Turkey,1998,57
Turkey,1999,58
Turkey,2000,82
Turkey,2001,123
Turkey,2002,161
Turkey,2003,148
Turkey,2004,187
Turkey,2005,146
Turkey,2006,75
Turkey,2007,82
Turkey,2008,91
Turkey,2009,94
Turkey,2010,104
Turkey,2011,116
Turkey,2012,94
Turkey,2013,81
Turkey,2014,89
Turkey,2015,92
Turkey,2016,102