Number,Chapter
1,Chapter 1: Free movement of Goods
2,Chapter 2: Free movement of Persons
3,Chapter 3: Freedom to provide services
4,Chapter 4: Free movement of capital
5,Chapter 5: Company law
6,Chapter 6: Competition policy
7,Chapter 7: Agriculture
8,Chapter 8: Fisheries
9,Chapter 9: Transport policy
10,Chapter 10: Taxation
11,Chapter 11: Economic and Monetary Union
12,Chapter 12: Statistics
13,Chapter 13: Social Policy and Employment
14,Chapter 14: Energy
15,Chapter 15: Industry
16,Chapter 16: Small and Medium Enterprises
17,Chapter 17: Science and research
18,Chapter 18: Education and Training
19,Chapter 19: Telecommunications and information technologies
20,Chapter 20: Culture and audio-visual policy
21,Chapter 21: Regional Policy and co-ordination of structural instruments
22,Chapter 22: Environment
23,Chapter 23: Consumers and health protection
24,Chapter 24: Co-operation in the field of justice and home affairs
25,Chapter 25: Customs union
26,Chapter 26: External relations
27,Chapter 27: Common Foreign and Security Policy
28,Chapter 28: Financial Control
29,Chapter 29: Financial and budgetary provisions