Country,Number,Provisional Closure
Latvia,1,2001
Latvia,2,2001
Latvia,3,2001
Latvia,4,2001
Latvia,5,2001
Latvia,6,2001
Latvia,7,2002
Latvia,8,2001
Latvia,9,2001
Latvia,10,2002
Latvia,11,2000
Latvia,12,2000
Latvia,13,2001
Latvia,14,2001
Latvia,15,2000
Latvia,16,2000
Latvia,17,2000
Latvia,18,2000
Latvia,19,2002
Latvia,20,2001
Latvia,21,2002
Latvia,22,2001
Latvia,23,2000
Latvia,24,2002
Latvia,25,2001
Latvia,26,2000
Latvia,27,2000
Latvia,28,2001
Latvia,29,2002
Lithuania,1,2001
Lithuania,2,2001
Lithuania,3,2001
Lithuania,4,2001
Lithuania,5,2001
Lithuania,6,2001
Lithuania,7,2002
Lithuania,8,2001
Lithuania,9,2001
Lithuania,10,2002
Lithuania,11,2001
Lithuania,12,2000
Lithuania,13,2001
Lithuania,14,2002
Lithuania,15,2000
Lithuania,16,2000
Lithuania,17,2000
Lithuania,18,2000
Lithuania,19,2001
Lithuania,20,2000
Lithuania,21,2002
Lithuania,22,2001
Lithuania,23,2001
Lithuania,24,2002
Lithuania,25,2001
Lithuania,26,2000
Lithuania,27,2000
Lithuania,28,2001
Lithuania,29,2002
Estonia,1,2000
Estonia,2,2002
Estonia,3,2001
Estonia,4,2000
Estonia,5,2000
Estonia,6,2001
Estonia,7,2002
Estonia,8,2000
Estonia,9,2002
Estonia,10,2002
Estonia,11,1999
Estonia,12,1999
Estonia,13,2000
Estonia,14,2002
Estonia,15,1999
Estonia,16,1998
Estonia,17,1998
Estonia,18,1998
Estonia,19,1999
Estonia,20,2000
Estonia,21,2002
Estonia,22,2001
Estonia,23,1999
Estonia,24,2002
Estonia,25,2002
Estonia,26,2000
Estonia,27,2000
Estonia,28,2001
Estonia,29,2002
Bulgaria,1,2002
Bulgaria,2,2002
Bulgaria,3,2001
Bulgaria,4,2001
Bulgaria,5,2001
Bulgaria,6,2004
Bulgaria,7,2004
Bulgaria,8,2001
Bulgaria,9,2003
Bulgaria,10,2002
Bulgaria,11,2002
Bulgaria,12,2000
Bulgaria,13,2002
Bulgaria,14,2002
Bulgaria,15,2001
Bulgaria,16,2000
Bulgaria,17,2000
Bulgaria,18,2000
Bulgaria,19,2001
Bulgaria,20,2000
Bulgaria,21,2004
Bulgaria,22,2003
Bulgaria,23,2000
Bulgaria,24,2003
Bulgaria,25,2002
Bulgaria,26,2000
Bulgaria,27,2000
Bulgaria,28,2002
Bulgaria,29,2004
Turkey,1,
Turkey,2,
Turkey,3,
Turkey,4,
Turkey,5,
Turkey,6,
Turkey,7,
Turkey,8,
Turkey,9,
Turkey,10,
Turkey,11,
Turkey,12,
Turkey,13,
Turkey,14,
Turkey,15,
Turkey,16,
Turkey,17,2006
Turkey,18,
Turkey,19,
Turkey,20,
Turkey,21,
Turkey,22,
Turkey,23,
Turkey,24,
Turkey,25,
Turkey,26,
Turkey,27,
Turkey,28,
Turkey,29,